U (V)	I (nA)
0.2	0.62
0.35	-0.06
0.65	-0.05
0.9	-0.03
1.15	-0.03
1.4	-0.03
1.65	-0.03
1.9	-0.02
2.15	-0.02
2.45	-0.02
2.7	0
2.95	0
3.2	0
3.45	0
3.7	0
3.95	0
4.25	0.02
4.5	0.02
4.75	0.02
5	0.03
5.25	0.03
5.5	0.05
5.8	0.05
6.05	0.05
6.3	0.06
6.55	0.06
6.8	0.06
7.1	0.08
7.35	0.08
7.6	0.09
7.85	0.09
8.1	0.11
8.4	0.12
8.65	0.12
8.9	0.14
9.15	0.14
9.45	0.15
9.65	0.17
9.95	0.18
10.2	0.2
10.45	0.21
10.7	0.23
11	0.24
11.25	0.26
11.5	0.27
11.75	0.3
12.05	0.32
12.3	0.35
12.55	0.36
12.8	0.39
13.05	0.42
13.35	0.45
13.6	0.47
13.85	0.5
14.15	0.53
14.4	0.56
14.65	0.59
14.9	0.62
15.2	0.65
15.45	0.69
15.7	0.72
15.95	0.75
16.2	0.8
16.5	0.83
16.75	0.87
17	0.9
17.25	0.93
17.55	0.98
17.8	0.98
18.05	0.93
18.3	0.84
18.6	0.75
18.85	0.69
19.1	0.62
19.35	0.56
19.65	0.5
19.9	0.42
20.15	0.38
20.45	0.36
20.7	0.35
20.95	0.35
21.2	0.35
21.5	0.36
21.75	0.39
22	0.44
22.25	0.53
22.5	0.74
22.8	0.98
23.05	1.17
23.3	1.34
23.6	1.47
23.85	1.59
24.1	1.74
24.35	1.91
24.65	2.09
24.9	2.25
25.2	2.42
25.45	2.57
25.7	2.72
25.95	2.87
26.2	3.02
26.5	3.15
26.75	3.29
27	3.42
27.25	3.56
27.55	3.69
27.8	3.83
28.05	3.95
28.35	4.05
28.6	4.14
28.85	4.25
29.1	4.34
29.4	4.41
29.65	4.5
29.9	4.58
30.2	4.64
30.45	4.71
30.7	4.77
30.95	4.83
31.25	4.89
31.5	4.94
31.75	4.98
32	5.03
32.3	5.07
32.55	5.13
32.8	5.18
33.1	5.22
33.35	5.25
33.6	5.3
33.85	5.33
34.15	5.37
34.4	5.4
34.65	5.39
34.95	5.27
35.2	5.04
35.45	4.79
35.7	4.59
36	4.43
