U (V)	I (nA)
0	-0.09
1.25	-0.09
0.25	-0.09
0.5	-0.08
0.75	-0.08
1	-0.08
1.3	-0.06
1.55	-0.06
1.8	-0.06
2.05	-0.06
2.3	-0.06
2.6	-0.05
2.85	-0.05
3.1	-0.05
3.35	-0.05
3.6	-0.05
3.9	-0.05
4.15	-0.03
4.4	-0.03
4.65	-0.03
4.9	-0.03
5.15	-0.03
5.45	-0.02
5.7	-0.02
5.95	-0.02
6.25	-0.02
6.5	-0.02
6.75	0
7	0
7.25	0
7.55	0
7.8	0.02
8.05	0.02
8.3	0.02
8.55	0.03
8.85	0.03
9.1	0.03
9.35	0.03
9.6	0.05
9.9	0.05
10.15	0.05
10.4	0.06
10.65	0.06
10.95	0.06
11.2	0.08
11.45	0.08
11.7	0.08
12	0.08
12.25	0.09
12.5	0.09
12.75	0.09
13.05	0.11
13.3	0.11
13.55	0.11
13.85	0.11
14.1	0.12
14.35	0.12
14.6	0.12
14.9	0.14
15.15	0.14
15.4	0.14
15.65	0.15
15.95	0.15
16.2	0.15
16.45	0.17
16.75	0.17
17	0.18
17.25	0.18
17.55	0.18
17.8	0.2
18.05	0.2
18.3	0.2
18.6	0.21
18.85	0.21
19.1	0.23
19.35	0.23
19.65	0.23
19.9	0.24
20.15	0.24
20.45	0.26
20.7	0.26
20.95	0.26
21.2	0.27
21.5	0.27
21.75	0.29
22	0.29
22.3	0.3
22.55	0.3
22.8	0.3
23.1	0.32
23.35	0.32
23.6	0.33
23.9	0.33
24.15	0.35
24.4	0.35
24.65	0.35
24.95	0.36
25.2	0.36
25.45	0.38
25.7	0.38
26	0.39
26.25	0.39
26.5	0.41
26.8	0.41
27.05	0.42
27.3	0.42
27.55	0.44
27.85	0.44
28.1	0.45
28.4	0.45
28.65	0.47
28.9	0.47
29.15	0.48
29.45	0.48
29.7	0.5
29.95	0.5
30.25	0.51
30.5	0.51
30.75	0.53
31	0.53
31.3	0.54
31.55	0.56
31.85	0.56
32.1	0.57
32.35	0.57
32.6	0.59
32.9	0.59
33.15	0.6
33.45	0.6
33.7	0.62
33.95	0.62
34.2	0.63
34.5	0.65
34.75	0.65
35	0.66
35.25	0.66
35.55	0.66
35.8	0.68
36.05	0.68
36.35	0.68
36.6	0.68
36.85	0.68
37.15	0.68
37.4	0.68
37.65	0.68
37.95	0.68
38.2	0.66
38.45	0.66
38.75	0.66
39	0.66
39.25	0.66
39.55	0.65
39.8	0.65
40.05	0.65
40.3	0.65
40.6	0.65
40.85	0.63
41.1	0.63
41.4	0.63
41.65	0.65
41.9	0.66
42.2	0.68
42.45	0.68
42.7	0.69
43	0.69
43.25	0.71
43.5	0.72
43.75	0.75
44.05	0.77
44.3	0.8
44.55	0.83
44.85	0.84
45.1	0.87
45.35	0.9
45.65	0.93
45.9	0.96
46.2	0.99
46.45	1.02
46.7	1.05
46.95	1.1
47.25	1.13
47.5	1.16
47.75	1.2
48.05	1.23
48.3	1.28
48.55	1.31
48.8	1.35
49.1	1.38
49.35	1.43
49.6	1.46
49.85	1.5
50.15	1.53
50.4	1.58
50.65	1.61
50.95	1.64
51.2	1.68
51.45	1.71
51.7	1.74
52	1.77
52.25	1.79
52.5	1.8
52.8	1.8
53.05	1.79
53.3	1.79
53.55	1.79
53.85	1.77
54.1	1.76
54.35	1.74
54.65	1.71
54.9	1.67
55.15	1.64
55.45	1.61
55.7	1.58
55.95	1.53
56.2	1.5
56.5	1.46
56.75	1.41
57	1.37
57.3	1.31
57.55	1.26
57.8	1.22
58.1	1.17
58.35	1.14
58.6	1.13
58.85	1.1
59.15	1.07
59.4	1.02
59.65	0.98
59.95	0.95
60.2	0.93
60.45	0.93
60.7	0.93
60.95	0.92
61.25	0.9
61.5	0.9
61.75	0.89
62.05	0.9
62.3	0.9
62.55	0.92
62.85	0.93
63.1	0.95
63.35	0.96
63.6	0.99
63.9	1.02
64.15	1.05
64.4	1.08
64.7	1.13
65	1.17
65.2	1.22
65.5	1.26
65.75	1.31
66	1.37
66.25	1.41
66.55	1.47
66.8	1.53
67.1	1.61
67.3	1.67
67.6	1.74
67.85	1.82
68.1	1.88
68.4	1.97
68.65	2.04
68.9	2.12
69.15	2.19
69.4	2.27
69.7	2.33
69.95	2.39
70.2	2.45
70.5	2.51
70.75	2.57
71	2.63
71.3	2.69
71.55	2.73
71.8	2.78
72.05	2.81
72.3	2.85
72.6	2.9
73	2.93
73.1	2.97
73.4	3.02
73.65	3.03
73.9	3.06
74.15	3.09
74.4	3.12
74.7	3.17
74.95	3.21
75.2	3.26
75.45	3.3
75.75	3.33
76	3.36
76.25	3.41
76.55	3.44
76.8	3.5
77.05	3.57
77.3	3.65
77.55	3.72
77.85	3.78
78.1	3.86
78.35	3.9
78.6	3.99
78.6	4.05
78.6	4.04
78.6	4.02
78.6	4.02
78.6	4.02
78.6	4.02
78.6	3.98
78.6	4.01
78.6	4.01
78.6	4.01
78.6	4.01
78.6	4.01
78.6	4.01
78.6	4.01
78.6	4.01
78.6	4.01
78.6	4.01
78.6	3.99
78.6	3.99
78.6	3.99
78.6	3.99
78.6	3.99
78.6	3.99
78.6	3.99
78.6	3.99
78.6	3.99
78.6	3.99
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.96
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.98
78.6	3.99
78.6	3.99
78.6	3.99
78.6	3.99
78.6	3.99
78.6	3.99
78.6	3.99
