U (V)	I (nA)
0	-0.08
0.1	0.92
0.35	-0.08
0.6	-0.08
0.85	-0.06
1.15	-0.06
1.4	-0.06
1.65	-0.06
1.9	-0.06
2.15	-0.05
2.45	-0.05
2.7	-0.05
2.95	-0.05
3.2	-0.05
3.45	-0.05
3.7	-0.03
4	-0.03
4.25	-0.03
4.5	-0.03
4.8	-0.02
5	-0.02
5.3	-0.02
5.55	-0.02
5.8	0
6.05	0
6.35	0
6.6	0
6.85	0
7.1	0
7.4	0.02
7.65	0.03
7.9	0.03
8.15	0.05
8.45	0.06
8.7	0.08
8.95	0.09
9.2	0.12
9.5	0.14
9.75	0.15
10	0.18
10.25	0.21
10.55	0.24
10.8	0.27
11.05	0.3
11.3	0.33
11.6	0.38
11.85	0.41
12.1	0.44
12.4	0.48
12.65	0.51
12.9	0.56
13.15	0.59
13.45	0.63
13.7	0.66
13.95	0.71
14.25	0.74
14.5	0.77
14.75	0.8
15	0.83
15.3	0.86
15.55	0.89
15.8	0.9
16.05	0.93
16.35	0.96
16.6	0.98
16.85	1.01
17.15	1.02
17.4	1.05
17.65	1.05
17.9	1.01
18.2	0.86
18.45	0.71
18.7	0.6
19	0.48
19.25	0.38
19.5	0.24
19.8	0.12
20.05	0.03
20.3	-0.02
20.6	-0.05
20.85	-0.06
21.1	-0.08
21.35	-0.08
21.65	-0.08
21.9	-0.08
22.15	-0.06
22.45	-0.06
22.7	-0.05
22.95	-0.02
23.2	0
23.5	0.05
23.75	0.11
24	0.21
24.3	0.45
24.55	0.78
24.8	1.05
25.1	1.26
25.35	1.44
25.6	1.61
25.85	1.77
26.15	1.95
26.4	2.18
26.65	2.37
26.95	2.55
27.2	2.72
27.45	2.88
27.75	3.03
28	3.18
28.25	3.3
28.55	3.41
28.8	3.53
29.05	3.56
29.3	3.72
29.6	3.74
29.85	3.83
30.1	3.9
30.4	3.98
30.65	4.04
30.9	4.1
31.15	4.14
31.45	4.19
31.7	4.22
31.95	4.25
32.25	4.26
32.5	4.29
32.75	4.31
33.05	4.31
33.3	4.31
33.55	4.31
33.85	4.29
34.1	4.29
34.35	4.31
34.65	4.28
34.9	4.19
35.15	3.98
35.4	3.68
35.7	3.41
35.95	3.17
36.2	2.94
36.5	2.7
36.75	2.45
37	2.16
37.3	1.88
37.55	1.61
37.8	1.38
38.1	1.19
38.35	0.99
38.6	0.8
38.9	0.62
39.15	0.47
39.4	0.33
39.7	0.21
39.95	0.11
40.2	0.03
40.45	-0.02
40.75	-0.02
41	0.05
41.25	0.24
41.55	0.41
41.8	0.51
42.05	0.6
42.3	0.68
42.6	0.8
42.85	0.98
43.15	1.25
43.4	1.49
43.65	1.71
43.9	1.91
44.2	2.12
44.45	2.36
44.7	2.6
45	2.85
45.25	3.09
45.5	3.32
45.8	3.54
46.05	3.78
46.35	4.02
46.6	4.26
46.85	4.49
47.1	4.71
47.4	4.94
47.65	5.16
47.9	5.37
48.15	5.58
48.45	5.78
48.7	5.97
48.95	6.15
49.25	6.33
49.5	6.51
49.75	6.69
50.05	6.84
50.3	6.99
50.55	7.14
50.8	7.31
51.1	7.46
51.35	7.59
51.6	7.71
51.9	7.79
52.15	7.82
52.4	7.77
52.65	7.7
52.95	7.61
53.2	7.56
53.45	7.5
53.75	7.41
54	7.29
54.25	7.14
54.5	6.96
54.8	6.78
55.05	6.63
55.3	6.48
55.6	6.32
55.85	6.15
56.1	5.99
56.4	5.81
56.65	5.64
56.9	5.48
57.15	5.34
57.45	5.27
57.7	5.25
57.95	5.25
58.25	5.21
58.5	5.15
58.75	5.09
59.05	5.03
59.3	5.03
59.55	5.12
59.8	5.24
60.1	5.34
60.35	5.42
60.65	5.51
60.9	5.63
61.15	5.78
61.4	5.96
61.7	6.18
61.95	6.41
62.2	6.63
62.45	6.87
62.75	7.14
63	7.43
63.25	7.73
63.5	8.06
63.8	8.4
64.05	8.76
64.3	9.15
64.6	9.54
64.85	9.95
65.1	10.38
65.4	10.83
65.65	11.3
65.9	11.78
66.15	12.29
66.45	12.71
66.7	12.75
66.95	12.75
67.2	12.75
67.5	12.75
67.75	12.75
68	12.75
68.3	12.75
68.55	12.75
68.8	12.75
69.05	12.75
69.35	12.75
69.6	12.75
69.85	12.75
70.15	12.75
70.4	12.75
70.65	12.75
70.9	12.75
71.2	12.75
71.45	12.75
71.7	12.75
72	12.75
72.25	12.75
72.5	12.75
72.75	12.75
73.05	12.75
73.3	12.75
73.55	12.75
73.8	12.75
74.1	12.75
74.35	12.75
74.6	12.75
74.85	12.75
75.15	12.75
75.4	12.75
75.65	12.75
75.9	12.75
76.2	12.75
76.45	12.75
76.7	12.75
76.95	12.75
77.2	12.75
77.5	12.75
77.75	12.75
78	12.75
78.3	12.75
78.55	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
78.65	12.75
