Volt	Arus (A)	Intensitas (mV)	Hambatan (Ohm)	R/Rref	T(K)	T^4(K^4)	Rref (Ohm)
1	0.63	0	1.587301587	5.291005291	1200	2.0736E+12	0.3
2	0.82	0.5	2.43902439	8.130081301	1700	8.3521E+12	0.3
3	0.92	1	3.260869565	10.86956522	2100	1.94481E+13	0.3
4	1.05	1.7	3.80952381	12.6984127	2400	3.31776E+13	0.3
5	1.15	2.6	4.347826087	14.49275362	2700	5.31441E+13	0.3
6	1.26	3.7	4.761904762	15.87301587	2900	7.07281E+13	0.3
7	1.34	5.3	5.223880597	17.41293532	3200	1.04858E+14	0.3
8	1.43	5.9	5.594405594	18.64801865	3400	1.33634E+14	0.3
9	1.52	7.3	5.921052632	19.73684211	3500	1.50063E+14	0.3
10	1.59	8.4	6.289308176	20.96436059	3500	1.50063E+14	0.3
11	1.67	10	6.586826347	21.95608782	3500	1.50063E+14	0.3
