MIN=0	-300	-0.1	-1
MAX=10	300	0.1	1
SCALE=10	100	0.05	0.5
DEC=1	1	4	3
DEF="Time" t / s	"Magn. flux density" B_A1 / mT	"Current" I_A1 / A	"Voltage" U_B1 / V
0	90.75	0	0
0.1	90.75	0	0
0.199	90.75	0	0.001
0.3	90.6	0	0
0.4	90.75	0.0001	0
0.5	90.6	0.00045	0
0.602	90.6	0.00475	0.0025
0.7	90.45	0.00695	0.0065
0.799	90.6	0.00885	0.0115
0.899	90.75	0.0109	0.015
1	90.75	0.01315	0.0165
1.099	90.6	0.0152	0.02
1.2	90.6	0.0171	0.022
1.299	90.75	0.0193	0.025
1.4	90.6	0.0212	0.027
1.5	90.6	0.02275	0.029
1.599	90.6	0.02415	0.031
1.7	90.6	0.0257	0.0325
1.8	90.6	0.02755	0.035
1.9	90.6	0.0295	0.0375
2	90.6	0.0312	0.04
2.1	90.6	0.03255	0.0415
2.2	90.6	0.0326	0.0415
2.3	90.75	0.03255	0.0415
2.4	90.6	0.03255	0.0415
2.5	90.6	0.03035	0.0415
2.6	90.6	0.03195	0.0415
2.7	90.75	0.03265	0.041
2.8	90.6	0.0325	0.0415
2.9	90.6	0.0326	0.041
3	90.6	0.0326	0.041
3.1	90.6	0.0326	0.041
3.2	90.6	0.0326	0.0405
3.3	90.75	0.0327	0.041
3.4	90.6	0.0327	0.0405
3.502	90.6	0.0326	0.0395
3.599	90.75	0.0326	0.0405
3.704	90.6	0.0326	0.039
3.8	90.6	0.0326	0.0395
3.9	90.6	0.03265	0.0405
3.999	90.6	0.03275	0.0405
4.1	90.6	0.03265	0.0405
4.2	90.6	0.03275	0.0405
4.3	90.6	0.0327	0.0405
4.4	90.6	0.0327	0.04
4.499	90.6	0.0327	0.0405
4.6	90.6	0.0328	0.0405
4.7	90.6	0.0312	0.04
4.8	90.6	0.03265	0.0395
4.903	90.6	0.03265	0.039
5	90.6	0.0327	0.04
5.099	90.6	0.0327	0.04
