DEF="Time" t / s	"Magn. flux density" B_A1 / mT	"Current" I_A1 / A	"Voltage" U_B1 / V
0	90.6	0	-0.0015
0.1	90.6	0	-0.001
0.199	90.6	0.0001	-0.001
0.3	90.6	0.0001	-0.0015
0.4	90.6	0.0014	-0.003
0.5	90.6	0.00605	-0.006
0.6	90.6	0.0079	-0.0075
0.7	90.6	0.00925	-0.0085
0.8	90.6	0.0106	-0.01
0.9	90.6	0.0129	-0.0115
0.999	90.45	0.01575	-0.0125
1.1	90.6	0.01845	-0.0165
1.2	90.6	0.02045	-0.0175
1.3	90.6	0.02205	-0.019
1.4	90.6	0.02415	-0.0205
1.5	90.6	0.0259	-0.0215
1.6	90.6	0.0275	-0.023
1.7	90.6	0.0294	-0.0245
1.8	90.6	0.03115	-0.0255
1.9	90.6	0.0325	-0.0275
2	90.6	0.0325	-0.0275
2.1	90.6	0.03255	-0.027
2.2	90.6	0.0326	-0.0275
2.299	90.6	0.0325	-0.027
2.4	90.6	0.0325	-0.027
2.5	90.6	0.0325	-0.027
2.6	90.6	0.0325	-0.027
2.7	90.6	0.0326	-0.0275
2.8	90.6	0.0326	-0.0275
2.9	90.6	0.03265	-0.027
3	90.6	0.0336	-0.0275
3.1	90.6	0.0326	-0.027
3.2	90.6	0.03255	-0.0235
3.3	90.45	0.0326	-0.0275
3.4	90.6	0.0326	-0.0275
3.5	90.6	0.03275	-0.028
3.6	90.6	0.0328	-0.027
3.7	90.45	0.03265	-0.0275
3.8	90.6	0.03265	-0.0275
3.9	90.45	0.03295	-0.0275
4	90.6	0.03265	-0.0275
4.1	90.6	0.03265	-0.0275
4.2	90.6	0.03265	-0.028
4.3	90.6	0.0327	-0.027
4.4	90.6	0.03265	-0.027
4.5	90.6	0.0327	-0.027
4.6	90.6	0.0327	-0.027
4.7	90.6	0.03265	-0.027
4.8	90.6	0.0327	-0.027
4.9	90.6	0.03265	-0.0275
