DEF="Time" t / s	"Magn. flux density" B_A1 / mT	"Current" I_A1 / A	"Voltage" U_B1 / V
0	184.65	0	-0.001
0.1	184.65	0	-0.002
0.2	184.65	0	-0.0015
0.3	184.5	0	-0.002
0.4	184.65	0	-0.0015
0.5	184.5	0	-0.001
0.599	184.65	0.00015	-0.001
0.7	184.5	0.00115	-0.0005
0.799	184.5	0.00335	0.003
0.899	184.65	0.00565	0.007
1	184.65	0.0068	0.009
1.1	184.65	0.0078	0.012
1.2	184.65	0.0088	0.0155
1.3	184.65	0.00985	0.018
1.4	184.65	0.01095	0.02
1.5	184.65	0.01205	0.0215
1.6	184.5	0.0133	0.0245
1.7	184.5	0.0148	0.0275
1.8	184.5	0.0161	0.0305
1.9	184.65	0.0174	0.0325
2	184.65	0.0192	0.0355
2.1	184.5	0.0214	0.0405
2.2	184.65	0.02245	0.0425
2.3	184.65	0.02345	0.044
2.4	184.5	0.02465	0.0465
2.5	184.5	0.0265	0.05
2.6	184.5	0.02795	0.0535
2.7	184.65	0.0294	0.056
2.8	184.5	0.0311	0.06
2.9	184.65	0.0322	0.062
3	184.5	0.03215	0.062
3.1	184.65	0.0322	0.062
3.2	184.5	0.03255	0.063
3.299	184.5	0.0326	0.063
3.399	184.5	0.03575	0.063
3.5	184.5	0.03255	0.0625
3.599	184.5	0.03255	0.062
3.699	184.5	0.03255	0.063
3.8	184.65	0.0326	0.062
3.9	184.5	0.0326	0.0635
4	184.5	0.03255	0.062
4.099	184.5	0.0326	0.0635
4.199	184.5	0.0326	0.0635
4.3	184.5	0.0326	0.063
4.399	184.5	0.03265	0.0635
4.499	184.65	0.0326	0.0625
4.599	184.5	0.03235	0.0625
4.699	184.5	0.03265	0.062
4.799	184.5	0.0326	0.064
4.899	184.5	0.0326	0.064
4.999	184.5	0.03265	0.0625
5.1	184.5	0.0327	0.062
5.203	184.5	0.03265	0.0615
5.299	184.5	0.0327	0.063
5.399	184.65	0.03275	0.064
5.499	184.5	0.0327	0.064
5.599	184.5	0.0327	0.064
5.7	184.5	0.0327	0.063
5.799	184.65	0.0327	0.064
5.899	184.65	0.0327	0.064
5.999	184.5	0.03265	0.0625
6.1	184.5	0.0327	0.063
6.199	184.5	0.0327	0.0635
6.299	184.5	0.03265	0.0635
