DEF="Time" t / s	"Magn. flux density" B_A1 / mT	"Current" I_A1 / A	"Voltage" U_B1 / V
0	1.95	0.01145	0.0015
0.1	1.95	0.0114	0.002
0.2	1.95	0.01145	0.002
0.3	5.55	0.01145	0.0015
0.4	9.3	0.01145	0.001
0.5	20.55	0.01145	0
0.6	31.95	0.0114	-0.001
0.7	43.05	0.0114	-0.0025
0.8	54.45	0.01145	-0.0035
0.9	66.3	0.01145	-0.005
1	78.3	0.01145	-0.0065
1.1	90.45	0.0114	-0.008
1.2	103.95	0.01145	-0.0095
1.3	117.75	0.01145	-0.0105
1.4	130.05	0.01145	-0.0125
1.5	142.5	0.0114	-0.014
1.599	154.05	0.01145	-0.0145
1.699	164.1	0.0114	-0.016
1.8	173.7	0.0114	-0.017
1.899	182.55	0.01145	-0.018
2	183	0.01145	-0.018
2.099	183	0.0114	-0.0185
2.199	183.15	0.0114	-0.0185
2.299	183.15	0.01145	-0.0185
2.399	183.15	0.01145	-0.0185
2.499	183.15	0.0114	-0.0185
2.599	183.15	0.01145	-0.017
2.699	183	0.01145	-0.018
2.799	183.15	0.0114	-0.0185
2.899	183	0.0114	-0.0185
2.999	183.15	0.0114	-0.0185
3.099	183.15	0.0114	-0.0185
3.199	183	0.01145	-0.0185
3.299	183.15	0.0114	-0.0185
3.399	183	0.01145	-0.0185
3.499	183.15	0.0114	-0.0185
3.599	183.15	0.0114	-0.0185
3.699	183.15	0.0114	-0.0185
3.799	183	0.0114	-0.0185
3.899	183	0.0114	-0.0185
4	183.15	0.0114	-0.0175
4.099	183	0.0114	-0.0185
4.199	183.15	0.0114	-0.0185
4.299	183.15	0.0114	-0.0185
4.399	183.15	0.0114	-0.018
4.499	183	0.0114	-0.0185
