DEF="Time" t / s	"Magn. flux density" B_A1 / mT	"Current" I_A1 / A	"Voltage" U_B1 / V
0	2.25	0.03255	-0.0035
0.099	2.1	0.03255	-0.0035
0.2	2.4	0.0325	-0.003
0.3	8.1	0.0325	-0.0015
0.4	17.85	0.03255	0.0005
0.5	33	0.0325	0.0045
0.6	48.75	0.0325	0.0085
0.7	60.6	0.0325	0.0115
0.8	67.65	0.0325	0.0135
0.9	76.35	0.0325	0.016
0.999	85.65	0.0325	0.0175
1.1	96.45	0.0325	0.021
1.2	108.3	0.0325	0.024
1.3	120.6	0.0325	0.0265
1.4	133.35	0.0325	0.03
1.5	147	0.0325	0.0335
1.6	160.5	0.0325	0.0365
1.7	173.25	0.0325	0.0395
1.8	184.95	0.0325	0.042
1.9	185.55	0.0325	0.0425
2	185.55	0.0325	0.0425
2.1	185.55	0.0325	0.0425
2.2	185.55	0.0325	0.0425
2.3	185.55	0.0325	0.0425
2.4	185.55	0.0325	0.0425
2.5	185.55	0.0325	0.0425
2.6	185.55	0.0325	0.043
2.7	185.55	0.0325	0.043
2.8	185.55	0.0325	0.0425
2.9	185.7	0.0325	0.0425
3	185.55	0.0325	0.0425
3.1	185.55	0.03255	0.0425
3.2	185.55	0.0325	0.0425
3.3	185.55	0.0325	0.043
3.4	185.55	0.03255	0.0425
3.5	185.55	0.0325	0.043
3.6	185.55	0.0325	0.0425
3.7	185.55	0.03255	0.0425
3.8	185.55	0.0325	0.043
3.9	185.55	0.03255	0.0425
4	185.55	0.0325	0.043
4.1	185.55	0.0325	0.043
4.2	185.55	0.0325	0.043
4.3	185.55	0.0325	0.043
4.4	185.55	0.03255	0.044
4.5	185.55	0.0325	0.0435
4.6	185.55	0.03255	0.0435
4.7	185.55	0.0325	0.0435
4.8	185.55	0.0325	0.044
4.9	185.55	0.0325	0.044
5	185.55	0.0325	0.044
5.1	185.55	0.03255	0.044
