t / s	R_A / 1/s
9.997	1.5
20.192	67.7
30.397	62.2
40.592	55.8
50.791	51.2
60.896	51.1
71.088	49.4
81.293	51.2
91.492	43.4
101.697	42.7
111.897	42.1
122.095	39.7
132.292	37.4
142.489	36.7
152.696	34.4
162.896	33.2
173.095	33.4
183.293	28.2
193.49	28.5
203.697	28.1
213.897	23.6
224.094	28.1
234.292	21.8
244.494	21.9
254.691	19.1
264.891	19.7
275.088	21
285.296	16.5
295.493	18
305.689	15.2
315.889	16.2
326.096	14.3
336.292	16.5
346.49	13.1
356.697	15.8
366.897	13.3
377.094	12.5
387.291	12.1
397.489	11.4
407.696	11.3
417.896	11.5
428.093	10.4
438.29	8.3
448.488	10.2
458.695	9.1
468.888	8.9
479.095	7.5
489.292	7.7
499.49	7.3
509.697	7.3
519.897	7.9
530.094	6
540.291	5.9
550.488	7.2
560.696	4.8
570.896	4.2
581.093	6.5
591.29	4.5
601.4969	5.3
611.6949	4.4
621.895	4.8
632.092	4.6
642.289	3.9
652.496	3.1
662.694	2.9
672.894	3.9
683.091	4.8
693.288	3.3
703.495	3.5
713.6949	3
723.895	2.7
733.9969	2.2
744.093	2.3
754.295	3.6
764.444	3.2
774.644	1.9
