Current I_A1 / A	Magnetic flux &F / Vs
0.0005	0.0
0.0015	0.000828
0.005	0.0033154999999999
0.009	0.0070655
0.0145	0.01207625
0.0205	0.01817625
0.0265	0.02515875
0.0335	0.033408
0.04	0.0424705
0.0475	0.052458
0.0545	0.063333
0.062	0.0750705
0.0695	0.08743075
0.0775	0.10122625
0.084	0.11571375
0.089	0.13135125
0.0935	0.14831375
0.097	0.1662355
0.1015	0.1858605
0.106	0.2067355
0.1115	0.229252
0.1165	0.252552
0.122	0.277002
0.1275	0.3020165
0.134	0.32926325
0.1405	0.35640925
0.1475	0.38539
0.1545	0.411718
0.161	0.437116
0.167	0.45976
0.1725	0.4791725
0.1775	0.4960725
0.1815	0.51056
0.1855	0.5228475
0.188	0.53278225
0.1905	0.54055725
0.1925	0.5462055
0.1935	0.5497055
0.194	0.551293
0.1925	0.5512055
0.188	0.5497055
0.182	0.5472555
0.175	0.54387675
0.167	0.53968925
0.1595	0.53467675
0.151	0.52916425
0.1425	0.52286425
0.1345	0.51552675
0.126	0.50741425
0.1175	0.49851425
0.11	0.48881425
0.102	0.478512
0.094	0.466884
0.0865	0.4546715
0.079	0.4415965
0.072	0.42788875
0.0645	0.41316375
0.0575	0.39752625
0.0505	0.38096375
0.044	0.36308825
0.037	0.34440075
0.0305	0.32511925
0.0235	0.30405625
0.017	0.28241875
0.0105	0.25976875
0.0045	0.23649375
-0.001	0.21184375
-0.0075	0.1856935
-0.0135	0.159503
-0.0195	0.131147
-0.026	0.102222
-0.0315	0.0721720000000001
-0.0385	0.0417184999999998
-0.045	0.0097184999999999
-0.0515	-0.0239032500000002
-0.0585	-0.05779075
-0.066	-0.0925907499999999
-0.0735	-0.12826575
-0.081	-0.164048
-0.0885	-0.2007935
-0.096	-0.233893
-0.103	-0.2649805
-0.1095	-0.2944515
-0.1155	-0.31947825
-0.1215	-0.34241575
-0.1265	-0.36280325
-0.131	-0.38067825
-0.135	-0.39599075
-0.1385	-0.40929075
-0.142	-0.42030325
-0.144	-0.42910325
-0.146	-0.43573325
-0.1475	-0.44020825
-0.148	-0.44277075
-0.148	-0.44347075
-0.1455	-0.4427725
-0.141	-0.44082175
-0.135	-0.437943
-0.128	-0.4340305
-0.121	-0.428803
-0.1135	-0.4227905
-0.106	-0.416178
-0.0985	-0.408703
-0.091	-0.4004405
-0.0835	-0.3915225
-0.0755	-0.3811695
-0.0685	-0.370365
-0.061	-0.35821425
-0.054	-0.34538925
-0.047	-0.33196325
-0.04	-0.31730075
-0.033	-0.30165075
-0.0265	-0.2846805
-0.02	-0.266968
-0.0135	-0.248243
-0.0075	-0.2284555
-0.0015	-0.207555499999999
0.004	-0.1855805
0.0095	-0.16297925
0.0155	-0.13885425
0.021	-0.113112
0.027	-0.087387
0.0325	-0.0595027499999999
0.039	-0.0315482500000002
0.045	-0.0013307500000001
0.0515	0.0292317500000003
0.058	0.060163
0.0655	0.0933767500000001
0.073	0.126714250000001
0.081	0.16086425
0.0895	0.19576425
0.098	0.2301255
0.1065	0.26433375
0.1145	0.29492125
0.122	0.32240875
0.129	0.346578000000001
0.1355	0.3687405
0.1415	0.38864325
0.1465	0.40540575
0.151	0.41939525
0.155	0.43168625
0.1585	0.44142375
0.1605	0.4485655
0.1625	0.453753
0.1635	0.45708075
0.164	0.45839325
0.1625	0.45798075
0.158	0.45631825
0.152	0.45378075
0.145	0.450363
0.138	0.4458005
0.1305	0.440338
0.122	0.434038
0.114	0.426796
0.106	0.4189335
0.098	0.4102835
0.0905	0.4011205
0.0825	0.3909705
0.075	0.3796485
0.0675	0.367686
0.06	0.35508075
0.053	0.34128075
0.046	0.3262485
0.039	0.310561
0.032	0.293886
0.026	0.276589
0.019	0.2580015
0.0125	0.238389
0.006	0.2173005
0.0	0.19602225
-0.0055	0.17281725
-0.0115	0.14946875
-0.0175	0.12450625
-0.023	0.097948
-0.029	0.0713532500000003
-0.035	0.0425765000000002
-0.041	0.0133389999999998
-0.047	-0.0169484999999995
-0.054	-0.0475612499999992
-0.0605	-0.0797487499999997
-0.0675	-0.11287375
-0.075	-0.1475665
-0.0825	-0.1817195
-0.091	-0.21806975
-0.099	-0.252794749999999
-0.1065	-0.2841915
-0.114	-0.313403999999999
-0.121	-0.339854
-0.1275	-0.363541499999999
-0.133	-0.38415825
-0.1385	-0.4030155
-0.143	-0.418878
-0.147	-0.43260975
-0.1505	-0.44373475
-0.153	-0.45259725
-0.1555	-0.45921225
-0.1565	-0.46392475
-0.1575	-0.46662475
-0.1575	-0.467428
-0.1555	-0.466791
-0.1505	-0.464991
-0.144	-0.46196925
-0.1375	-0.45801925
-0.1305	-0.4532785
-0.123	-0.4475785
-0.115	-0.4408975
-0.1075	-0.43351
-0.0995	-0.425285
-0.092	-0.416416
-0.0835	-0.406369
-0.0765	-0.395694
-0.069	-0.384168999999999
-0.0615	-0.371744
-0.0545	-0.358393999999999
-0.0475	-0.344094
-0.0405	-0.3288565
-0.034	-0.312631499999999
-0.027	-0.295344
-0.021	-0.2774345
-0.0145	-0.2581845
-0.0085	-0.237884499999999
-0.002	-0.215954499999999
0.0035	-0.193367
0.009	-0.170288
0.0155	-0.145313
0.021	-0.11870375
0.0265	-0.0923907499999999
0.0325	-0.0644407499999995
