Current I_A1 / A	Magnetic flux &F / Vs
0.0005	0.0
0.004	0.0015435
0.0105	0.006131
0.017	0.013431
0.025	0.023331
0.033	0.035806
0.042	0.050781
0.051	0.0681935
0.061	0.0879185
0.0725	0.11021825
0.084	0.13415575
0.0965	0.16013075
0.11	0.18739925
0.125	0.21748925
0.1405	0.248004
0.158	0.281052
0.1755	0.3138575
0.196	0.34911125
0.2165	0.38316725
0.2385	0.42011675
0.26	0.45704175
0.2835	0.4952535
0.3055	0.5317215
0.3265	0.5683905
0.34	0.599553
0.3505	0.6258945
0.357	0.646695
0.3605	0.66427
0.3615	0.678095
0.36	0.68846075
0.356	0.69534525
0.3495	0.6993105
0.342	0.700623
0.331	0.70026775
0.3165	0.698113
0.3005	0.694413
0.2835	0.68945175
0.265	0.68287275
0.2465	0.6754125
0.2275	0.66650025
0.2085	0.65663775
0.1895	0.6460415
0.1705	0.6341165
0.1525	0.6212165
0.1335	0.607179
0.1155	0.5918165
0.0975	0.575204
0.0805	0.5532485
0.0015	0.42412925
-0.002	0.41618675
-0.007	0.40538675
-0.011	0.39761325
-0.014	0.39196075
-0.0165	0.3856605
-0.026	0.3668685
-0.039	0.33667225
-0.0525	0.303382
-0.0665	0.268982
-0.081	0.232907
-0.0955	0.1950695
-0.1115	0.1549325
-0.128	0.1148995
-0.1455	0.0726870000000003
-0.163	0.0293120000000001
-0.182	-0.0151629999999997
-0.2035	-0.0614072499999999
-0.2255	-0.106303499999999
-0.249	-0.15303225
-0.268	-0.19504975
-0.282	-0.23342725
-0.2925	-0.26530175
-0.301	-0.29306425
-0.3065	-0.31635175
-0.31	-0.335923
-0.3115	-0.350917
-0.311	-0.362692
-0.3085	-0.371142
-0.304	-0.37597425
-0.298	-0.37833675
-0.289	-0.37883675
-0.277	-0.37734925
-0.2625	-0.37417425
-0.2465	-0.369654
-0.2305	-0.3637415
-0.212	-0.3567035
-0.194	-0.34870425
-0.1755	-0.33880425
-0.157	-0.32745675
-0.139	-0.3156845
-0.121	-0.3025345
-0.1035	-0.2878845
-0.086	-0.2718595
-0.069	-0.2545195
-0.0525	-0.236132
-0.0365	-0.2161945
-0.0215	-0.19508775
-0.007	-0.17143775
0.007	-0.1453385
0.02	-0.118609
0.0335	-0.0894089999999999
0.0475	-0.0583465
0.061	-0.0250052499999999
0.075	0.0085965000000004
0.0895	0.0447340000000003
0.105	0.0826090000000002
0.121	0.121709
0.138	0.1622215
0.156	0.203161
0.1755	0.247634000000001
0.1955	0.290901
0.2165	0.3359635
0.2395	0.381451
0.263	0.4271215
0.28	0.468359000000001
0.294	0.503492
0.305	0.53499725
0.3135	0.5604405
0.3195	0.582396
0.323	0.5994235
0.324	0.613219
0.3225	0.62518125
0.3195	0.63074125
0.3145	0.63467875
0.3065	0.6360175
0.2955	0.6353575
0.28	0.6326015
0.265	0.6286535
0.247	0.62323475
0.2285	0.6165665
0.2105	0.60895925
0.1915	0.60005925
0.1725	0.58977
0.154	0.5785325
0.1355	0.5663315
0.1175	0.5526565
0.0995	0.537744
0.0825	0.5215565
0.0655	0.5039565
0.0485	0.4848815
0.0325	0.4643065
0.017	0.44170075
0.002	0.41830325
-0.011	0.39259075
-0.0245	0.36497825
-0.0375	0.33559075
-0.0505	0.30427825
-0.064	0.27111575
-0.078	0.23620325
-0.093	0.198718249999999
-0.108	0.16028075
-0.1235	0.121227749999999
-0.141	0.0791654999999991
-0.158	0.0375277499999995
-0.178	-0.0069442500000005
-0.1975	-0.0507870000000001
-0.2195	-0.0971205000000003
-0.242	-0.14228625
-0.265	-0.188670249999999
-0.281	-0.22774775
-0.294	-0.26231025
-0.304	-0.29126925
-0.312	-0.31618175
-0.317	-0.33689425
-0.3195	-0.35360675
-0.32	-0.36690675
-0.3185	-0.37679425
-0.3145	-0.383386
-0.3085	-0.38687725
-0.3005	-0.38758975
-0.2885	-0.38621275
-0.274	-0.38335025
-0.259	-0.3790995
-0.241	-0.373413
-0.223	-0.366613
-0.205	-0.3585525
-0.1865	-0.349165
-0.168	-0.33913225
-0.149	-0.32725025
-0.131	-0.31509425
-0.1135	-0.30096725
-0.0955	-0.2861325
-0.078	-0.2689725
-0.0615	-0.2511855
-0.0455	-0.231573
-0.0295	-0.2101275
-0.0145	-0.1878815
0.0	-0.163294
0.0135	-0.13637875
0.0265	-0.108730500000001
0.04	-0.0780667500000004
0.054	-0.0467679999999996
0.068	-0.0130430000000003
