Current I_A1 / A	Magnetic flux &F / Vs
0.0015	0.0
0.0055	0.001524
0.0155	0.0056364999999999
0.0265	0.0111445
0.04	0.018632
0.0555	0.02805425
0.069	0.0388417500000001
0.0845	0.05069975
0.1	0.06441875
0.1165	0.0790329999999999
0.132	0.0956845
0.1465	0.1136345
0.158	0.13305075
0.1705	0.15467575
0.184	0.17841625
0.199	0.20267125
0.2145	0.22885875
0.2315	0.25633375
0.248	0.2856715
0.2645	0.31501025
0.282	0.34616025
0.3005	0.37842275
0.3195	0.412172
0.335	0.443522
0.345	0.470647
0.352	0.49295425
0.356	0.51184975
0.3575	0.52647625
0.3565	0.53830125
0.3535	0.5471115
0.3485	0.55278325
0.342	0.55599575
0.333	0.55689575
0.3205	0.55597075
0.3055	0.553051
0.29	0.548935
0.273	0.54384775
0.2555	0.53786975
0.2375	0.53061975
0.219	0.52251025
0.2005	0.5130625
0.182	0.50275
0.1645	0.491325
0.146	0.4788125
0.129	0.4648875
0.1115	0.4495365
0.0945	0.433881
0.077	0.4163115
0.0615	0.39799775
0.0455	0.37792275
0.0295	0.35604375
0.0145	0.33218875
0.001	0.30871675
-0.012	0.283102
-0.025	0.255102
-0.038	0.2253145
-0.051	0.1932865
-0.0635	0.1608485
-0.078	0.125276
-0.0925	0.0895549999999999
-0.1055	0.05153
-0.121	0.0118925000000001
-0.136	-0.0291324999999997
-0.153	-0.0722657499999999
-0.1695	-0.11396575
-0.1885	-0.1593685
-0.2085	-0.20556175
-0.2285	-0.24937375
-0.245	-0.29308075
-0.258	-0.33076825
-0.2685	-0.36363075
-0.2765	-0.39185575
-0.2825	-0.41595575
-0.2865	-0.435274
-0.288	-0.451543
-0.288	-0.4645055
-0.286	-0.4741805
-0.2825	-0.480868
-0.277	-0.484897
-0.2695	-0.48584025
-0.259	-0.48477775
-0.2455	-0.48250825
-0.231	-0.478821
-0.215	-0.473596
-0.1985	-0.4671585
-0.1805	-0.4596335
-0.1635	-0.45077225
-0.1465	-0.44092325
-0.129	-0.42949925
-0.112	-0.41709925
-0.095	-0.40346175
-0.0785	-0.38903125
-0.063	-0.37316875
-0.047	-0.35576875
-0.0315	-0.33646525
-0.016	-0.31601525
-0.0035	-0.29443075
0.0095	-0.27075575
0.022	-0.24458
0.0345	-0.21693
0.047	-0.1875925
0.06	-0.15709
0.073	-0.12339175
0.086	-0.0894102499999993
0.1005	-0.0523970000000005
0.115	-0.0153652499999995
0.1315	0.0243127500000006
0.148	0.0636475000000002
0.166	0.10565875
0.185	0.146978
0.2045	0.189827999999999
0.226	0.23247025
0.2475	0.27708625
0.2635	0.31473025
0.2765	0.34927
0.287	0.378269999999999
0.2945	0.403310999999999
0.3005	0.4234985
0.3035	0.439435749999999
0.3045	0.45214825
0.304	0.461473249999999
0.3005	0.46777325
0.296	0.47128575
0.2885	0.47220375
0.2785	0.47092975
0.2645	0.46794625
0.2495	0.46370775
0.233	0.45813275
0.216	0.45195775
0.1985	0.44465775
0.1805	0.43570775
0.163	0.42588325
0.1445	0.4145995
0.127	0.402091749999999
0.11	0.38895975
0.0925	0.37416975
0.0765	0.3587715
0.06	0.34149525
0.044	0.32361025
0.0285	0.30394775
0.0135	0.28278525
0.0	0.26004775
-0.0135	0.235635249999999
-0.026	0.20948525
-0.039	0.18100175
-0.0515	0.15189575
-0.0645	0.11981675
-0.0775	0.0873419999999992
-0.091	0.0518714999999991
-0.105	0.0155339999999999
-0.1195	-0.0215344999999997
-0.135	-0.0607720000000003
-0.1515	-0.10201825
-0.1695	-0.144105750000001
-0.1875	-0.18725575
-0.207	-0.22976325
-0.228	-0.274707
-0.248	-0.3172445
-0.2625	-0.35461925
-0.2745	-0.38761925
-0.2845	-0.416255750000001
-0.2915	-0.439543
-0.297	-0.45944575
-0.2995	-0.474599
-0.3005	-0.48700475
-0.299	-0.49601725
-0.2955	-0.50187975
-0.2905	-0.5048075
-0.283	-0.50530475
-0.2725	-0.5038225
-0.2595	-0.500735
-0.244	-0.4961705
-0.2275	-0.4905845
-0.21	-0.4837095
-0.193	-0.47551125
-0.1755	-0.466715750000001
-0.1575	-0.456401000000001
-0.14	-0.4450635
-0.1225	-0.43287475
-0.1055	-0.41928725
-0.0885	-0.404204
-0.0725	-0.3884995
-0.0565	-0.371112
-0.0405	-0.352349500000001
-0.0255	-0.3317455
-0.011	-0.309958
0.0015	-0.286977
0.0145	-0.261777
0.0275	-0.234752000000001
0.0405	-0.205439750000001
0.0525	-0.175464000000001
0.0665	-0.142607250000001
